step_id,pathway,phase,sequence,action,owner,evidence_output,proceed_condition,stop_or_revise_condition,evidence_basis,scenario_status
AUTO-04,Automate,Test,4,"Test missing, wrong-client, conflict, duplicate, unusual and outage cases",Qualified reviewer,Failure test report,"Failures route safely to named staff","Failure creates an unlogged or external action",NCSC; FRC,Reusable action
AUTO-05,Automate,Shadow,5,"Compare proposed automated actions with staff decisions",Operational lead,Shadow action log,"False and missed actions meet the rule","Staff cannot explain rejected or accepted actions",NIST,Reusable action
AUTO-06,Automate,Pilot,6,"Require approval before client communication or ledger posting",Qualified reviewer,Approval log,"Named approval is technically enforced","Approval can be bypassed",FRC; DSIT oversight,Reusable control
AUTO-07,Automate,Operate,7,"Monitor rejected actions, corrections, incidents and review displacement",Operational lead,Monitoring dashboard,"Logging is complete and reviewed","Logging fails or a material incident occurs",NCSC; NIST,Reusable action
AUTO-08,Automate,Manage,8,"Pause, rollback and re-authorise after material change",Owner-director,Rollback and reapproval record,"Manual fallback works and changes are reassessed","Rollback is unavailable or untested",NCSC; NIST,Reusable control
CONF-01,Configure,Map,1,"Define the knowledge question and authorised users",Owner-director,Use-case statement,"Scope is an internal retrieval problem","Plan begins by uploading all files",NIST; ICO,Reusable action
CONF-02,Configure,Prepare,2,"Inventory documents, owners, versions, access and expiry",Knowledge owner,Corpus register,"Authoritative current documents are identified","Obsolete or ownerless documents remain",NIST; NCSC,Reusable action
CONF-03,Configure,Prepare,3,"Remove duplicates and restrict corpus to approved material",Knowledge owner,Approved corpus,"Each document has authority and access metadata","Conflicting sources cannot be resolved",ICO; NCSC,Reusable action
CONF-04,Configure,Design,4,"Require document and section citations in every answer",Qualified reviewer,Answer specification,"Users can verify every supported claim","Answers are fluent but untraceable",FRC; NIST,Reusable control
CONF-05,Configure,Test,5,"Build 30 direct, ambiguous, conflicting, outdated and no-answer tests",Qualified reviewer,Retrieval test set,"Test set covers refusal and conflict behaviour","Only direct-answer examples are tested",NIST,Illustrative test size
CONF-06,Configure,Measure,6,"Score support, citation, completeness, refusal and review time",Qualified reviewer,Scored evaluation,"Required performance and refusal rules pass","Unsupported answer or incorrect citation fails the rule",NIST; FRC,Reusable action
CONF-07,Configure,Pilot,7,"Pilot on internal procedures without client files",Owner-director,Limited pilot log,"Access controls and source checking operate","Client data enter before assurance is complete",ICO; NCSC,Reusable control
CONF-08,Configure,Operate,8,"Add refresh, deletion, access review and incident processes",Knowledge owner,Operating procedure,"Corpus and permissions remain current","Updates or deletions cannot be propagated",NCSC; ICO,Reusable action
CONF-09,Configure,Decide,9,"Reject custom model training unless a separate capability case passes",Owner-director,Build or no-build decision,"Skills, cost, security and assurance are proportionate","Build is chosen only for novelty or prestige",DSIT; SME adoption research,Reusable decision
